window_id,record_type,forest_class,spatial_block,fold,longitude_wgs84,latitude_wgs84
TRUTH_2eaeca6467f3fe768a5dae6d,event,,EVG2023_ef744a851df0,,121.351,24.03205
TRUTH_45ac28012eeeda24fef914e0,event,,EVG2025_3b9fd4736ba7,,120.73624,23.07823
TRUTH_52774df7f88c1fc3b9a94dfe,event,,EVG2021_fa238b5d97a3,,120.83199,23.49574
TRUTH_6b8ec142fc57e4faa403419d,event,broadleaf,EVG2025_3b9fd4736ba7,,120.67624,23.26754
TRUTH_78783eb3a69cd2af50c62e47,event,broadleaf,EVG2022_de503aca1e74,,121.30703,23.01248
TRUTH_7b6c4e9e2c28ca5c5f3231c9,event,broadleaf,EVG2023_91571cdbc0cb,,121.22391,23.35963
TRUTH_86cf4dc8ee75a8721b01407e,event,broadleaf,EVG2019_e1d9ea8380dc,,121.19956,23.3813
TRUTH_88a1d017e57ab72a4100b890,event,broadleaf,EVG2024_0e717f41a4c5,,120.70147,22.83888
TRUTH_9ec2c9f7618a37cb42b42dd3,event,broadleaf,EVG2025_61c91b85e0f0,,121.69508,25.02724
TRUTH_ebcd904a8adc1f395c190d2c,event,broadleaf,EVG2024_231dce96fd16,,121.00028,22.74089
TRUTH_f4f6425e5d8de565362ebcde,event,,EVG2024_0e717f41a4c5,,120.77274,23.51905
TRUTH_fd6a350e53e0d23464596518,event,broadleaf,EVG2016_54f507a4c16a,,121.22333,24.25907
NORMAL_0011,normal,broadleaf,1209_249,2.0,120.92604,22.48228
NORMAL_0031,normal,broadleaf,1204_253,3.0,120.46252,22.84041
NORMAL_0035,normal,broadleaf,1204_258,2.0,120.46957,23.25929
NORMAL_0059,normal,broadleaf,1208_245,4.0,120.81828,22.09393
NORMAL_0061,normal,broadleaf,1206_247,3.0,120.65137,22.25912
NORMAL_0081,normal,broadleaf,1204_255,1.0,120.42172,23.03895
NORMAL_0108,normal,broadleaf,1207_245,4.0,120.71489,22.08824
NORMAL_0112,normal,broadleaf,1204_259,1.0,120.49285,23.37198
NORMAL_0124,normal,broadleaf,1209_249,2.0,120.94906,22.47196
NORMAL_0135,normal,broadleaf,1207_252,3.0,120.71854,22.74784
NORMAL_0142,normal,broadleaf,1207_255,4.0,120.71816,22.95621
NORMAL_0144,normal,broadleaf,1206_250,2.0,120.68527,22.58684
NORMAL_0210,normal,broadleaf,1208_244,1.0,120.82293,22.03226
NORMAL_0218,normal,broadleaf,1203_253,0.0,120.37812,22.84206
NORMAL_0225,normal,broadleaf,1211_252,0.0,121.14668,22.7681
NORMAL_0235,normal,broadleaf,1204_254,0.0,120.4336,22.91189
NORMAL_0259,normal,conifer,1211_262,2.0,121.16512,23.65673
NORMAL_0262,normal,conifer,1211_261,4.0,121.13552,23.57898
NORMAL_0264,normal,conifer,1212_264,3.0,121.21218,23.83942
NORMAL_0290,normal,conifer,1209_255,1.0,120.99832,22.95308
NORMAL_0300,normal,conifer,1210_258,0.0,121.03509,23.24913
NORMAL_0318,normal,conifer,1213_265,1.0,121.38865,23.92866
NORMAL_0323,normal,conifer,1211_270,2.0,121.18851,24.34884
NORMAL_0328,normal,conifer,1213_273,1.0,121.39404,24.58724
NORMAL_0352,normal,conifer,1211_265,1.0,121.16798,23.85425
NORMAL_0377,normal,conifer,1208_258,0.0,120.89665,23.24757
NORMAL_0387,normal,conifer,1212_263,0.0,121.23119,23.73614
NORMAL_0403,normal,conifer,1209_269,3.0,120.99625,24.26655
NORMAL_0418,normal,conifer,1211_261,4.0,121.14988,23.53206
NORMAL_0424,normal,conifer,1211_273,3.0,121.12255,24.57104
NORMAL_0445,normal,conifer,1209_257,4.0,120.94854,23.13768
NORMAL_0495,normal,conifer,1211_271,2.0,121.16584,24.44822
NORMAL_0515,normal,bamboo,1205_258,2.0,120.59907,23.29888
NORMAL_0526,normal,bamboo,1203_253,0.0,120.36293,22.85528
NORMAL_0534,normal,bamboo,1209_274,4.0,120.97984,24.72975
NORMAL_0561,normal,bamboo,1215_273,4.0,121.51514,24.58765
NORMAL_0575,normal,bamboo,1204_259,1.0,120.4785,23.39114
NORMAL_0609,normal,bamboo,1207_263,1.0,120.72877,23.7396
NORMAL_0626,normal,bamboo,1206_257,0.0,120.63341,23.19138
NORMAL_0631,normal,bamboo,1208_272,2.0,120.87347,24.5613
NORMAL_0651,normal,bamboo,1214_262,2.0,121.40625,23.64124
NORMAL_0658,normal,bamboo,1208_269,0.0,120.81211,24.29346
NORMAL_0676,normal,bamboo,1211_273,3.0,121.14497,24.6206
NORMAL_0680,normal,bamboo,1208_270,1.0,120.82213,24.36053
NORMAL_0702,normal,bamboo,1211_256,3.0,121.15997,23.11042
NORMAL_0725,normal,bamboo,1209_271,0.0,120.93578,24.47517
NORMAL_0740,normal,bamboo,1209_270,4.0,120.94345,24.33367
NORMAL_0748,normal,bamboo,1216_280,3.0,121.63701,25.21618
