stratum,horizon_seasons,method,groups,spatial_blocks,mae,mape_percent,psnr_db,sam_degrees
overall,1,forest_conditioned_gru,384,43,0.0118559735092276,12.29918236285448,35.133848307139,3.360092341899872
overall,1,phenology_basis_gru,384,43,0.0117472389423104,12.31473739569386,35.22231620542719,3.338654064883789
overall,1,seasonal_median,384,43,0.0127468444188707,13.256907823185124,34.40750038765,3.596411888487637
overall,1,validation_selected_gru,384,43,0.01196869044846,12.268131855875254,34.992866391601275,3.396563677427669
overall,2,forest_conditioned_gru,384,43,0.0117800016929929,12.24189679697156,35.143775579737365,3.336388100249072
overall,2,phenology_basis_gru,384,43,0.0116991105387569,12.249693378806114,35.21914485688931,3.315806071894864
overall,2,seasonal_median,384,43,0.012655021155903,13.17458991209666,34.43531262069566,3.5700853168964386
overall,2,validation_selected_gru,384,43,0.0118746706424038,12.188574266930422,35.02638603682185,3.3663769752408066
overall,4,forest_conditioned_gru,384,43,0.0121775135424589,12.375124540179968,34.838463617318354,3.4420547342548766
overall,4,phenology_basis_gru,384,43,0.0122441422160288,12.554129033039011,34.8168573641889,3.464178112645944
overall,4,seasonal_median,384,43,0.0128033640576177,13.23387286439538,34.33808881209739,3.595160843183597
overall,4,validation_selected_gru,384,43,0.0122718224774871,12.35059161608418,34.739757549639315,3.46616625164946
broadleaf,1,forest_conditioned_gru,128,15,0.0129258055494574,12.013385739177464,34.04755272148785,3.667482484132052
broadleaf,1,phenology_basis_gru,128,15,0.0128404039023735,11.993348702788351,34.12090125197603,3.662641616538167
broadleaf,1,seasonal_median,128,15,0.0140487572498386,12.96230659261346,33.18247490010485,3.977189029566944
broadleaf,1,validation_selected_gru,128,15,0.0131516631918202,12.069854576140642,33.82139468335673,3.7314689811319113
broadleaf,2,forest_conditioned_gru,128,15,0.0129913199925795,11.9526055008173,34.05146441128561,3.6519504273310304
broadleaf,2,phenology_basis_gru,128,15,0.0129647852409107,11.996896628290417,34.08452994784811,3.66025487985462
broadleaf,2,seasonal_median,128,15,0.0140608816000167,12.884159952402117,33.22904134733761,3.982779398560524
broadleaf,2,validation_selected_gru,128,15,0.0131901489658048,11.99736262112856,33.847538494057005,3.713021864183247
broadleaf,4,forest_conditioned_gru,128,15,0.013410030187515,12.141705144196749,33.718919224520576,3.757035313174129
broadleaf,4,phenology_basis_gru,128,15,0.0135535794142924,12.341419335454702,33.65007771621887,3.812346971593797
broadleaf,4,seasonal_median,128,15,0.0141017236455809,12.91835244745016,33.16156999406506,3.984358453191817
broadleaf,4,validation_selected_gru,128,15,0.0136115753666672,12.215897224843502,33.53925398928333,3.811133343726397
conifer,1,forest_conditioned_gru,128,15,0.0101008040837768,12.719551507383583,37.130350998389176,3.1642345869913697
conifer,1,phenology_basis_gru,128,15,0.010087075710544,12.977554716169834,37.13308926170072,3.145808447152376
conifer,1,seasonal_median,128,15,0.0106145029421895,13.541935727000237,36.62592719256999,3.248254695907235
conifer,1,validation_selected_gru,128,15,0.0101008040837768,12.719551507383583,37.130350998389176,3.1642345869913697
conifer,2,forest_conditioned_gru,128,15,0.0099316486066527,12.69423582404852,37.02981105474316,3.129747216589749
conifer,2,phenology_basis_gru,128,15,0.0099183350939711,12.893081903457642,37.03827733454156,3.1011185785755515
conifer,2,seasonal_median,128,15,0.0104631510403123,13.539563491940498,36.521789306899656,3.2029354590922594
conifer,2,validation_selected_gru,128,15,0.0099316486066527,12.69423582404852,37.02981105474316,3.129747216589749
conifer,4,forest_conditioned_gru,128,15,0.0103571256549912,12.696310017257929,36.65307982911662,3.275026076473296
conifer,4,phenology_basis_gru,128,15,0.0103792306290415,12.987306665629148,36.62951688498107,3.266904287971556
conifer,4,seasonal_median,128,15,0.0106876072095474,13.455207489430904,36.35846488722868,3.227683188393712
conifer,4,validation_selected_gru,128,15,0.0103571256549912,12.696310017257929,36.65307982911662,3.275026076473296
bamboo,1,forest_conditioned_gru,128,16,0.0125413108944485,12.164609842002392,34.22364120153996,3.2485599545761943
bamboo,1,phenology_basis_gru,128,16,0.0123142372140137,11.973308768123388,34.41295810260482,3.207512130960822
bamboo,1,seasonal_median,128,16,0.013577273064584,13.266481149941685,33.41409907027514,3.5637919399887323
bamboo,1,validation_selected_gru,128,16,0.0126536040697828,12.014989484101534,34.026853493057914,3.293987464159727
bamboo,2,forest_conditioned_gru,128,16,0.0124170364797464,12.07884906604886,34.35005127318333,3.2274666568264365
bamboo,2,phenology_basis_gru,128,16,0.0122142112813889,11.859101604670286,34.53462728827827,3.1860447572544217
bamboo,2,seasonal_median,128,16,0.01344103082738,13.100046291947365,33.55510720784972,3.5245410930365324
bamboo,2,validation_selected_gru,128,16,0.0125022143547539,11.874124355614184,34.20180856166537,3.2563618449494243
bamboo,4,forest_conditioned_gru,128,16,0.0127653847848705,12.287358459085226,34.14339179831785,3.294102813117206
bamboo,4,phenology_basis_gru,128,16,0.0127996166047523,12.33366109803319,34.17097749136674,3.3132830783724785
bamboo,4,seasonal_median,128,16,0.0136207613177248,13.328058656305076,33.49423155499841,3.573440887965262
bamboo,4,validation_selected_gru,128,16,0.0128467664108029,12.139567606151104,34.02693883051798,3.3123393347486854
