fold,forest_class_code,forest_class,alpha_gru,selected_basis,beta,validation_base_score,validation_selected_score,validation_gain,validation_samples,test_samples
0,1,broadleaf,0.8,harmonic_2_trend,0.25,0.0137077569961547,0.013506238348782,0.0002015186473727,19968,9216
0,2,conifer,0.8,analog_s90_h4,0.15,0.0119802057743072,0.0118367904797196,0.0001434152945876,19968,9216
0,3,bamboo,0.8,harmonic_2_trend,0.35,0.0126204499974846,0.0121173840016126,0.000503065995872,18432,12288
1,1,broadleaf,0.8,routed_recent_season,0.45,0.0137658081948757,0.0135400667786598,0.0002257414162158,19968,9216
1,2,conifer,0.8,harmonic_2_trend,0.15,0.0083363279700279,0.0082673709839582,6.895698606967926e-05,18432,12288
1,3,bamboo,0.8,harmonic_2_trend,0.3,0.012848793528974,0.0125056141987442,0.0003431793302297,19968,9216
2,1,broadleaf,0.8,harmonic_2_trend,0.3,0.0147715946659445,0.0144417416304349,0.0003298530355095,18432,12288
2,2,conifer,0.8,analog_s90_h4,0.05,0.0119100222364068,0.0118873659521341,2.2656284272670742e-05,19968,9216
2,3,bamboo,0.8,harmonic_2_trend,0.3,0.0127740250900387,0.012426377274096,0.0003476478159427,19968,9216
3,1,broadleaf,0.8,harmonic_2_trend,0.25,0.0137931499630212,0.0135495923459529,0.0002435576170682,19968,9216
3,2,conifer,0.8,analog_s45_h2,0.15,0.0119015304371714,0.0118685355409979,3.299489617347717e-05,19968,9216
3,3,bamboo,0.8,harmonic_2_trend,0.3,0.0122117446735501,0.0118563426658511,0.000355402007699,19968,9216
4,1,broadleaf,0.9,harmonic_2_trend,0.25,0.0139372143894433,0.0136726861819624,0.0002645282074809,19968,9216
4,2,conifer,0.9,harmonic_2_trend,0.1,0.0124597903341054,0.0124030411243438,5.674920976161957e-05,19968,9216
4,3,bamboo,0.9,harmonic_2_trend,0.25,0.0122231356799602,0.0119033716619014,0.0003197640180587,19968,9216
