sample_group_id,window_index,window_id,spatial_block,forest_class_code,forest_class,fold,target_day,target_date,target_year,target_quarter,horizon_seasons,support_pixels
0,0,NORMAL_0011,1209_249,1,broadleaf,2,17911,2019-01-15,2019,1,1,128
1,0,NORMAL_0011,1209_249,1,broadleaf,2,17911,2019-01-15,2019,1,2,128
2,0,NORMAL_0011,1209_249,1,broadleaf,2,17911,2019-01-15,2019,1,4,128
3,0,NORMAL_0011,1209_249,1,broadleaf,2,18001,2019-04-15,2019,2,1,128
4,0,NORMAL_0011,1209_249,1,broadleaf,2,18001,2019-04-15,2019,2,2,128
5,0,NORMAL_0011,1209_249,1,broadleaf,2,18001,2019-04-15,2019,2,4,128
6,0,NORMAL_0011,1209_249,1,broadleaf,2,18092,2019-07-15,2019,3,1,128
7,0,NORMAL_0011,1209_249,1,broadleaf,2,18092,2019-07-15,2019,3,2,128
8,0,NORMAL_0011,1209_249,1,broadleaf,2,18092,2019-07-15,2019,3,4,128
9,0,NORMAL_0011,1209_249,1,broadleaf,2,18184,2019-10-15,2019,4,1,128
10,0,NORMAL_0011,1209_249,1,broadleaf,2,18184,2019-10-15,2019,4,2,128
11,0,NORMAL_0011,1209_249,1,broadleaf,2,18184,2019-10-15,2019,4,4,128
12,0,NORMAL_0011,1209_249,1,broadleaf,2,18276,2020-01-15,2020,1,1,128
13,0,NORMAL_0011,1209_249,1,broadleaf,2,18276,2020-01-15,2020,1,2,128
14,0,NORMAL_0011,1209_249,1,broadleaf,2,18276,2020-01-15,2020,1,4,128
15,0,NORMAL_0011,1209_249,1,broadleaf,2,18367,2020-04-15,2020,2,1,128
16,0,NORMAL_0011,1209_249,1,broadleaf,2,18367,2020-04-15,2020,2,2,128
17,0,NORMAL_0011,1209_249,1,broadleaf,2,18367,2020-04-15,2020,2,4,128
18,0,NORMAL_0011,1209_249,1,broadleaf,2,18458,2020-07-15,2020,3,1,128
19,0,NORMAL_0011,1209_249,1,broadleaf,2,18458,2020-07-15,2020,3,2,128
20,0,NORMAL_0011,1209_249,1,broadleaf,2,18458,2020-07-15,2020,3,4,128
21,0,NORMAL_0011,1209_249,1,broadleaf,2,18550,2020-10-15,2020,4,1,128
22,0,NORMAL_0011,1209_249,1,broadleaf,2,18550,2020-10-15,2020,4,2,128
23,0,NORMAL_0011,1209_249,1,broadleaf,2,18550,2020-10-15,2020,4,4,128
24,0,NORMAL_0011,1209_249,1,broadleaf,2,18642,2021-01-15,2021,1,1,128
25,0,NORMAL_0011,1209_249,1,broadleaf,2,18642,2021-01-15,2021,1,2,128
26,0,NORMAL_0011,1209_249,1,broadleaf,2,18642,2021-01-15,2021,1,4,128
27,0,NORMAL_0011,1209_249,1,broadleaf,2,18732,2021-04-15,2021,2,1,128
28,0,NORMAL_0011,1209_249,1,broadleaf,2,18732,2021-04-15,2021,2,2,128
29,0,NORMAL_0011,1209_249,1,broadleaf,2,18732,2021-04-15,2021,2,4,128
30,0,NORMAL_0011,1209_249,1,broadleaf,2,18823,2021-07-15,2021,3,1,128
31,0,NORMAL_0011,1209_249,1,broadleaf,2,18823,2021-07-15,2021,3,2,128
32,0,NORMAL_0011,1209_249,1,broadleaf,2,18823,2021-07-15,2021,3,4,128
33,0,NORMAL_0011,1209_249,1,broadleaf,2,18915,2021-10-15,2021,4,1,128
34,0,NORMAL_0011,1209_249,1,broadleaf,2,18915,2021-10-15,2021,4,2,128
35,0,NORMAL_0011,1209_249,1,broadleaf,2,18915,2021-10-15,2021,4,4,128
36,0,NORMAL_0011,1209_249,1,broadleaf,2,19007,2022-01-15,2022,1,1,128
